,review_body,review_date,hotelName,hotelUrl
0,"We stayed at the Eastin Ashta for 2 weeks at the end of June. Within 24 hours we had decided we would definitely come back. The staff are just amazing. Every one of them. All smiley and happy. From arrival to departure. They would ask us how we were whenever we passed them and when we left or returned to the hotel. Great service at the pool all day with towels provided. Food was very good and the frozen cocktails were delicious. Me and my husband got sick for a day while there, nothing to do with the hotel. We think it was from our trip to the monkey sanctuary. Anyway the staff were so helpful and made toast for me at lunch time and a 'chip butty' for dinner as I couldn't eat anything else and  kept asking if we were ok. Breakfast was good. I ate far too much bacon. So crispy. The staff take your order for eggs however you want them.Room was a perfect size with a comfy king bed. You can have your sheets changed daily if you wish or leave a card provided on the bed to say you don't require a sheet change. The cleaner kept the room clean and  left towel art every day and 2 free bottles of water.  Shower was a walk in and great size. Small balcony which we only used to dry clothes and towels. Yes the room lighting is dull but a lot of hotels are like this. I always take a plug in bulb for extra light. Sockets are universal so no need for convertors. We managed with wardrobe space for a fortnight and I take travel fold up coat hangers for extra clothes hanging. Air con was brilliant. Even had to turn it off sometimes. Fridge kept drinks nicely chilled. WiFi was better than our own at home and free. Hired a scooter and kept it in the hotel car park which was very safe. There was a hotel security guard by the car park who would always say hello too.The construction work did not bother us at all as it can't be seen from the outdoor restaurant or pool just from the balconies.The hotel is in a great spot near the beach and away from the noise at night from the clubs. Lots of nice places to eat and drink within walking distance. We liked The Lawn, Tugu, Deus, Echo Beach BBQ, Beach Boy, Grass Terrace and Fat Mermaid. Lots of beach bars with bean bag beds if you want to sun lounge and watch the sunset. If your young and want late nights and music go to the Island Beach Bar (called Desoner in the evenings)  a 10 min walk along the road in line with the beach or Luigi's Hot Pizza a similar distance but left up the street  from the hotel. The people of Canggu are so friendly and polite. From shops to beach bars to restaurant. Never met an unfriendly face anywhere. And no one is pushy here. I recommend taking an unblocked mobile phone and getting a sim there so that you can use data for Google maps when you are out and about and so you can use the gojek app for taxis. We hired a driver for the day to to go to Ubud for the waterfalls and monkey sanctuary and he also took us to a lovely restaurant that  he recommended. Was about £35 for the whole day and he would just wait in his car at each stop.   We hope to return to the Eastin next year if our son is still there 'traveling'. He loves Canggu so much that he doesn't want to leave and we can see why. Such a chilled out place with so many friendly people.Makasih to everyone at Eastin Ashta. We had a great time. From Jon and Gina. ","July 12, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
1,"Excellent facilities, kind and welcoming staff. Only criticism was loud banging of doors at night, and thin walls so could hear next door / above and below. Poolside area perfect and gym was excellent. Great location near the beach.","July 9, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
2,"Fantastic staff, really clean hotel, exceptional customer service. What a great stay, the staff really make this place shine, so attentive and lovely. Would easily recommend to others as the best place in Canggu.","July 1, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
3,"Loved the location of this hotel, a close walk to bars, restaurants, shops, yoga and the beach but far enough away that it was quiet on the premises. Pool was lovely and clean. Not much shade around the pool if you want to avoid the sun, but great if you want to soak it all in! Room facilities were fantastic, everything is modern and clean. Only issue I had was not being able to call a Blue Bird taxi from the hotel itself when I was leaving to move to Seminyak. Staff offered me the hotel transport but this was more expensive so instead I had to walk down the street with my suitcase and hail from the road which wasn't very convenient. Apart from this, I would definitely recommend a stay here! ","June 29, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
4,"I've stayed in this hotel 3 times and I've enjoyed my stay on all of those times. The hotel located deep inside Canggu and is walking distance from the beach. It is surrounded by small stores, restaurants and cafe, so it was really easy to find food just by walking.The room was big and can fit an extra bed nicely. The pool area is great if you're looking to sunbathe cause it's open so sun exposure was maximal.Breakfast was good. I definitely feel relax there. ","June 27, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
5,"It was my first stay in Canggu and my friend has picked out this boutique hotel for our short 2.5 days stay. The room is relatively spacious and comfortable and it was at a prime location, not too far from many good eating places which are within walk-able distance. It is also a stone's throwaway from the beach which was extremely excellent and must say a good spot to stay if you are surfing! the pool is awesome as well with bean bags and tanning chairs. would definitely be back to stay at this hotel again!","June 27, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
6,"Very clean and new hotel. Within walking distance of the beach and nice restaurants nearby. Never had so friendly staff in a hotel and everything was incredibly clean! Scooters also delivered via the hotel within an hour, great!Had a nice stay.Few small points for improvement- Rooms are very noisy, we heard the people walking above us and the people next door coming home and talking at night.- Do not wash clothes at the hotel! Washing 1 piece of underwear at the hotel is just as expensive as washing 1 kilo at a laundry shop.- Arranging a taxi through the hotel is much more expensive than arranging it yourself.","June 26, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
7,"Thank you very much and good karma for the housekeeping staff ( Surya ) my hubby accidentally left his wallet, when we came back the wallet still there - none missing. Love the location, very close to our favourite surfing beach, the staffs are very kind from the receptionist till the securities staffs - love the room most especially the rain shower , always feeling fresh after spending some time on the beach, aircon is good , bed is comfy, food and drink are overpriced & the swimming pool water not fresh , feel itchy bit after swimming, the bathroom amenities is standard . we lost our helmet in parking park hotel ( underground park ), the security said they will find it, but until we checked out still no helmet found , we end up pay rp 100.000,- to motorbike rental.","June 24, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
8,"Just finished a 6 night stay at this hotel and it was a pleasure from start to finish. We were welcomed on arrival, helped to our room with bags and everything explained clearly to us on breakfast times, pool times etc. The room was very spacious and clean, mini bar fully restocked every time you use something and if you ever need anything else any member if staff are willing to help.The pool staff are very helpful and happy aswel! Always making sure your okay for drinks/food and always happy. The only MINOR thing I can say about the hotel was the choice of food at breakfast. Not much choice at all apart from your basics, which is enough but I expected a little more. BUT this does not let the hotel down in any way, it is only a little criticism. Would defiantly stay again if I re visited Canggu!!","June 21, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
9,"I had the worst experience ever in a hotel. This hotel has complete disregard for the hotel guests. What happened on the last day spoilt everything.On my last day, i was in a rush to get to the airport. For convenience sake, i booked a car using the grab app. I mean it's cheaper, faster and more convenient for me. The most unfortunate thing happened, the hotel lobby guys or security guards stopped the car from entering. They then refused the driver from leaving even when i was inside the car. They told the grab drive to ask me to leave. I was stunned because i felt really unsafe.I understand the standing feud between grab drivers and local taxis in Bali. If it was a local taxi guy who stopped me, fair enough. BUT it was the hotel staff which made me extremely unhappy. As hotel staff, you should accomodate to your guests every requests. Your guests are your priority not the local taxis. I find this unacceptable coming from a hotel who would prioritise local taxis over their own guests. The whole situation made me so upset. I was really late for my flight. They made me walk out all the way to the main road with my luggages. Can you believe it?I highly do not recommend this hotel.","June 20, 2019","0    Eastin Ashta Resort Canggu
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html
